Sport	Service	Type	Style	y	R2	RMSE	MAE	ModelType	Date	Params
mlb	fanduel	GPP	classic	top	.296	35.4	4.77	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
mlb	fanduel	GPP	classic	top	.517	29.36	4.24	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
mlb	fanduel	GPP	classic	top	.549	28.36	4.2	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
mlb	yahoo	FIFTY_FIFTY	classic	last	-.22	16.7	?	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
mlb	yahoo	FIFTY_FIFTY	classic	last	-.99	21.2	4.23	skautoml-pca	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
mlb	yahoo	FIFTY_FIFTY	classic	last	-2.2	27.3	4.7	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
mlb	yahoo	FIFTY_FIFTY	classic	top	-.6	25.4	4.64	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
mlb	yahoo	FIFTY_FIFTY	classic	top	-1.5	39.1	5.8	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
mlb	yahoo	FIFTY_FIFTY	classic	top	.21	21.88	4.48	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
mlb	yahoo	GPP	classic	last	-.51	17.7	3.55	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
mlb	yahoo	GPP	classic	last	-.9	20.1	4.0	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
mlb	yahoo	GPP	classic	last	-2	27.3	4.8	skautoml-pca	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
mlb	yahoo	GPP	classic	top	-.04	19.1	3.9	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
mlb	yahoo	GPP	classic	top	-.06	19.3	4.0	skautoml-pca	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
mlb	yahoo	GPP	classic	top	-.08	19.5	4.0	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nba	draftkings	FIFTY_FIFTY	classic	last	-.16	19	3.69	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nba	draftkings	FIFTY_FIFTY	classic	last	-.3	20.7	4.25	skautoml-pca	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nba	draftkings	FIFTY_FIFTY	classic	last	-.8	24.1	4.54	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nba	draftkings	FIFTY_FIFTY	classic	top	-.7	30.3	4.83	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nba	draftkings	FIFTY_FIFTY	classic	top	-1.11	33.8	5.34	skautoml-pca	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nba	draftkings	FIFTY_FIFTY	classic	top	-1.9	40.2	5.6	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nba	draftkings	GPP	classic	last	-.26	27.6	4.23	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nba	draftkings	GPP	classic	last	.08	23.56	4.27	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nba	draftkings	GPP	classic	last	.208	21.8	4.3	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nba	draftkings	GPP	classic	top	-.04	22.6	3.85	skautoml-pca	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nba	draftkings	GPP	classic	top	-.3	25.5	4.5	skautoml	20210808	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nba	draftkings	GPP	classic	top	.31	18.34	3.67	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nba	fanduel	FIFTY_FIFTY	classic	last	-.38	31.9	5.24	skautoml-pca	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nba	fanduel	FIFTY_FIFTY	classic	last	-.5	33.4	4.88	skautoml	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nba	fanduel	FIFTY_FIFTY	classic	last	-1.04	38.8	5.56	skautoml	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nba	fanduel	FIFTY_FIFTY	classic	top	-.55	32.08	4.79	skautoml	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nba	fanduel	FIFTY_FIFTY	classic	top	-.945	35.9	5.18	skautoml	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nba	fanduel	FIFTY_FIFTY	classic	top	.399	19.95	4.12	skautoml-pca	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nba	fanduel	GPP	classic	last	-.18	53	6.99	skautoml	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nba	fanduel	GPP	classic	last	-.7	64.39	7.67	skautoml	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nba	fanduel	GPP	classic	last	-1.2	69.5	7.92	skautoml-pca	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nba	fanduel	GPP	classic	top	-.01	28.3	4.53	skautoml	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nba	fanduel	GPP	classic	top	.29	23.66	3.97	skautoml	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nba	fanduel	GPP	classic	top	.348	22.73	3.71	skautoml-pca	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'

nhl	draftkings	FIFTY_FIFTY	classic	last	-.019	13.244	3.22	skautoml	20210805	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	draftkings	FIFTY_FIFTY	classic	last	.115	12.333	3.06	skautoml-pca	20210805	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nhl	draftkings	FIFTY_FIFTY	classic	top	.304	18.909	3.95	skautoml	20210805	'{"train_time": 120, "per_run_time": 30, "model_cols": "best-possible-score"}'
nhl	draftkings	FIFTY_FIFTY	classic	top	.305	18.895	3.88	skautoml	20210805	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	draftkings	FIFTY_FIFTY	classic	top	.313	18.781	3.85	skautoml-pca	20210805	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nhl	draftkings	GPP	classic	last	.038	21.74	4.15	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	draftkings	GPP	classic	last	.038	21.74	4.15	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	draftkings	GPP	classic	last	.07	21.366	4.13	skautoml	20210807	'{"train_time": 120, "per_run_time": 30, "model_cols": null}'
nhl	draftkings	GPP	classic	last	.07	21.366	4.13	skautoml	20210807	'{"train_time": 120, "per_run_time": 30, "model_cols": null}'
nhl	draftkings	GPP	classic	last	.09	21.13	4.16	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nhl	draftkings	GPP	classic	last	.11	20.88	4.1	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nhl	draftkings	GPP	classic	last	.18	20.03	3.99	skautoml-pca	20210807	'{"train_time": 120, "per_run_time": 30, "model_cols": null, "n_components": 5}'
nhl	draftkings	GPP	classic	top	.422	19.83	3.89	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nhl	draftkings	GPP	classic	top	.44	19.431	3.864	skautoml	20210807	'{"train_time": 120, "per_run_time": 30, "model_cols": null}'
nhl	draftkings	GPP	classic	top	.44	19.431	3.864	skautoml	20210807	'{"train_time": 120, "per_run_time": 30, "model_cols": null}'
nhl	draftkings	GPP	classic	top	.46	19.048	3.80	skautoml-pca	20210807	'{"train_time": 120, "per_run_time": 30, "model_cols": null, "n_components": 5}'
nhl	draftkings	GPP	classic	top	.46	19.048	3.80	skautoml-pca	20210807	'{"train_time": 120, "per_run_time": 30, "model_cols": null, "n_components": 5}'
nhl	draftkings	GPP	classic	top	.462	19.13	3.76	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nhl	draftkings	GPP	classic	top	.462	19.13	3.76	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nhl	draftkings	GPP	classic	top	.498	18.478	3.72	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	fanduel	FIFTY_FIFTY	classic	last	.13	21.719	4.07	skautoml	20210806	'{"train_time": 120, "per_run_time": 30, "model_cols": null}'
nhl	fanduel	FIFTY_FIFTY	classic	last	.13	21.775	4.09	skautoml-pca	20210806	'{"train_time": 120, "per_run_time": 30, "model_cols": null, "n_components": 5}'
nhl	fanduel	FIFTY_FIFTY	classic	last	.13	21.78	4.09	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nhl	fanduel	FIFTY_FIFTY	classic	last	.14	21.65	4.08	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nhl	fanduel	FIFTY_FIFTY	classic	last	.151	21.51	4.018	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	fanduel	FIFTY_FIFTY	classic	top	.19	28.223	4.52	skautoml-pca	20210806	'{"train_time": 120, "per_run_time": 30, "model_cols": null, "n_components": 5}'
nhl	fanduel	FIFTY_FIFTY	classic	top	.19	28.28	4.46	skautoml	20210806	'{"train_time": 120, "per_run_time": 30, "model_cols": null}'
nhl	fanduel	FIFTY_FIFTY	classic	top	.203	28.04	4.45	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nhl	fanduel	FIFTY_FIFTY	classic	top	.22	27.75	4.48	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nhl	fanduel	FIFTY_FIFTY	classic	top	.277	26.709	4.43	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	fanduel	GPP	classic	last	-.003	57.6	6.82	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nhl	fanduel	GPP	classic	last	-.009	57.77	6.84	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	fanduel	GPP	classic	last	.03	56.57	6.77	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nhl	fanduel	GPP	classic	top	.429	23.31	4.19	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nhl	fanduel	GPP	classic	top	.520	21.39	4.04	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nhl	fanduel	GPP	classic	top	.547	20.786	4.0	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	yahoo	FIFTY_FIFTY	classic	last	-.3	16.2	3.53	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nhl	yahoo	FIFTY_FIFTY	classic	last	.03	13.87	3.31	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nhl	yahoo	FIFTY_FIFTY	classic	last	0	14.1	3.15	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	yahoo	FIFTY_FIFTY	classic	top	.22	16.59	3.71	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nhl	yahoo	FIFTY_FIFTY	classic	top	0.03	18.53	4.04	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	yahoo	FIFTY_FIFTY	classic	top	0.14	17.39	3.81	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nhl	yahoo	GPP	classic	last	-.15	12.27	3.01	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nhl	yahoo	GPP	classic	last	.02	11.31	2.94	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	yahoo	GPP	classic	last	.177	10.36	2.83	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nhl	yahoo	GPP	classic	top	.288	15.62	3.46	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	yahoo	GPP	classic	top	.34	15.02	3.56	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nhl	yahoo	GPP	classic	top	.425	14.03	3.26	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
lol	draftkings	FIFTY_FIFTY	classic	top	.939	68.84	6.61	skautoml	20210825	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
lol	draftkings	FIFTY_FIFTY	classic	last	.681	139.78	9.9	skautoml	20210825	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
lol	draftkings	FIFTY_FIFTY	classic	top	.953	60.15	6.19	skautoml-pca	20210825	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
lol	draftkings	FIFTY_FIFTY	classic	last	.769	119.02	9.89	skautoml	20210825	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
lol	draftkings	GPP	classic	top	.998	8.06	2.55	skautoml	20210825	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
lol	draftkings	GPP	classic	last	.938	54.39	6.3	skautoml	20210825	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
lol	draftkings	GPP	classic	top	.998	9.07	2.7	skautoml-pca	20210825	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
lol	draftkings	GPP	classic	last	.938	54.01	6.63	skautoml-pca	20210825	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
lol	fanduel	FIFTY_FIFTY	classic	top	.168	55.4	7.23	skautoml	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
lol	fanduel	FIFTY_FIFTY	classic	last	-1.28	97.43	8.85	skautoml	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
lol	fanduel	FIFTY_FIFTY	classic	last	-.3	73.8	8.32	skautoml-pca	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
lol	fanduel	FIFTY_FIFTY	classic	top	.112	57.29	6.88	skautoml	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
lol	fanduel	FIFTY_FIFTY	classic	last	-.52	79.6	8.41	skautoml	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
lol	fanduel	FIFTY_FIFTY	classic	top	.485	43.62	6.18	skautoml-pca	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'

mlb	draftkings	FIFTY_FIFTY	classic	last	-.66	28.4	4.91	tpot-pca	20210911	'{"n_components": 5, "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	draftkings	FIFTY_FIFTY	classic	last	-.244	24.64	4.3	tpot	20210911	'{"model_cols": "best-possible-score", "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	draftkings	FIFTY_FIFTY	classic	last	-.5	27.1	4.61	tpot	20210911	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	draftkings	FIFTY_FIFTY	classic	top	-1.37	37.22	5.55	tpot	20210911	'{"model_cols": "best-possible-score", "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	draftkings	FIFTY_FIFTY	classic	top	-.88	33.17	5.1	tpot-pca	20210911	'{"n_components": 5, "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	draftkings	FIFTY_FIFTY	classic	top	-.04	24.7	4.4	tpot	20210911	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	draftkings	GPP	classic	last	-0.15	34.72	4.9	tpot	20210911	'{"model_cols": "best-possible-score", "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	draftkings	GPP	classic	last	-0.5	33.2	4.9	tpot	20210911	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	draftkings	GPP	classic	last	-0.7	33.5	4.89	tpot-pca	20210911	'{"n_components": 5, "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	draftkings	GPP	classic	top	.279	20.97	4.02	tpot	20210911	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	draftkings	GPP	classic	top	.382	19.41	3.76	tpot-pca	20210911	'{"n_components": 5, "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	fanduel	FIFTY_FIFTY	classic	last	-.03	30.8	5.28	tpot	20210911	'{"model_cols": "best-possible-score", "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	fanduel	FIFTY_FIFTY	classic	last	-.014	30.5	5.15	tpot	20210911	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	fanduel	FIFTY_FIFTY	classic	last	-.1	31.8	5.1	tpot-pca	20210911	'{"n_components": 5, "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	fanduel	FIFTY_FIFTY	classic	top	-.01	32.2	5	tpot	20210911	'{"model_cols": "best-possible-score", "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	fanduel	FIFTY_FIFTY	classic	top	-.4	37.8	5.65	tpot	20210911	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	fanduel	FIFTY_FIFTY	classic	top	0	32	5	tpot-pca	20210911	'{"n_components": 5, "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	fanduel	GPP	classic	last	-.2	30	4	tpot	20210911	'{"model_cols": "best-possible-score", "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	fanduel	GPP	classic	last	-.5	32	4	tpot	20210911	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	fanduel	GPP	classic	last	.181	24.08	4.08	tpot-pca	20210911	'{"n_components": 5, "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	fanduel	GPP	classic	top	.323	42.74	4.76	tpot	20210911	'{"model_cols": "best-possible-score", "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	fanduel	GPP	classic	top	.325	42.689	4.78	tpot	20210911	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	fanduel	GPP	classic	top	.34	42.18	4.47	tpot-pca	20210911	'{"n_components": 5, "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	yahoo	FIFTY_FIFTY	classic	last	-.7	25.4	4.64	tpot	20210911	'{"model_cols": "best-possible-score", "generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
mlb	yahoo	FIFTY_FIFTY	classic	last	-.4	22.7	4.26	tpot	20210911	'{"generations": 100, "early_stop": 10, "population_size": 100, "n_jobs": 3}'
